,Date,Symbols,value,error_value,error_ind,returns,roll_mean_res,lc_fit
0,2014-08-25,AAPL,101.54000091552734,101.54000091552734,0,,,
1,2014-08-26,AAPL,100.88999938964844,100.88999938964844,0,-0.006401433129980538,,
2,2014-08-27,AAPL,102.12999725341795,102.12999725341795,0,0.012290592439994974,,
3,2014-08-28,AAPL,102.25,102.25,0,0.001174999998132531,,
4,2014-08-29,AAPL,102.5,102.5,0,0.0024449877750611915,,
5,2014-09-02,AAPL,103.3000030517578,103.3000030517578,0,0.007804907822027252,,
6,2014-09-03,AAPL,98.94000244140624,98.94000244140624,0,-0.04220716826278326,,
7,2014-09-04,AAPL,98.12000274658205,98.12000274658205,0,-0.00828784793400228,,
8,2014-09-05,AAPL,98.97000122070312,98.97000122070312,0,0.008662846008233416,,
9,2014-09-08,AAPL,98.36000061035156,98.36000061035156,0,-0.006163489975020475,,
10,2014-09-09,AAPL,97.98999786376952,97.98999786376952,0,-0.003761719645039352,,
11,2014-09-10,AAPL,101.0,101.0,0,0.03071744261506293,,
12,2014-09-11,AAPL,101.43000030517578,101.43000030517578,0,0.004257428764116611,,
13,2014-09-12,AAPL,101.66000366210938,101.66000366210938,0,0.002267606785384846,,
14,2014-09-15,AAPL,101.62999725341795,101.62999725341795,0,-0.0002951643479293109,0.9159968058268078,
15,2014-09-16,AAPL,100.86000061035156,100.86000061035156,0,-0.007576470174906924,0.19133351643880303,
16,2014-09-17,AAPL,101.58000183105469,101.58000183105469,0,0.007138620031192255,0.8653345743815066,
17,2014-09-18,AAPL,101.79000091552734,101.79000091552734,0,0.002067327039646294,1.0980000813802064,
18,2014-09-19,AAPL,100.95999908447266,100.95999908447266,0,-0.008154060552013176,0.3539983113606837,
19,2014-09-22,AAPL,101.05999755859376,101.05999755859376,0,0.000990476178961197,0.549996948242196,
20,2014-09-23,AAPL,102.63999938964844,102.63999938964844,0,0.015634295163510226,2.173999023437503,
21,2014-09-24,AAPL,101.75,101.75,0,-0.008671077503320745,1.0966664632161525,
22,2014-09-25,AAPL,97.87000274658205,97.87000274658205,0,-0.0381326511392428,-2.7666641235351364,
23,2014-09-26,AAPL,100.75,100.75,0,0.02942676175125114,-0.0053334554036439386,
24,2014-09-29,AAPL,100.11000061035156,100.11000061035156,0,-0.0063523512620192735,-0.7619995117187557,
25,2014-09-30,AAPL,100.75,100.75,0,0.006392961599705149,-0.3060002644856752,
26,2014-10-01,AAPL,99.18000030517578,99.18000030517578,0,-0.015583123521828446,-1.7546666463216098,
27,2014-10-02,AAPL,99.9000015258789,99.9000015258789,0,0.007259540416290511,-0.9326655069987027,
28,2014-10-03,AAPL,99.62000274658205,99.62000274658205,0,-0.0028027905407421727,-1.0766642252604015,
29,2014-10-06,AAPL,99.62000274658205,99.62000274658205,0,0.0,-0.9426645914713419,
30,2014-10-07,AAPL,98.75,98.75,0,-0.008733213437016274,-1.6720006306966155,
31,2014-10-08,AAPL,100.8000030517578,100.8000030517578,0,0.02075952457476249,0.430002339680982,
32,2014-10-09,AAPL,101.0199966430664,101.0199966430664,0,0.002182476038176784,0.7013295491536411,
33,2014-10-10,AAPL,100.7300033569336,100.7300033569336,0,-0.002870652304191257,0.42666931152344034,
34,2014-10-13,AAPL,99.80999755859376,99.80999755859376,0,-0.009133383973788045,-0.4100031534830606,
35,2014-10-14,AAPL,98.75,98.75,0,-0.01062015413808115,-1.210667419433591,
36,2014-10-15,AAPL,97.54000091552734,97.54000091552734,0,-0.012253155285799067,-2.1399998982747377,
37,2014-10-16,AAPL,96.26000213623048,96.26000213623048,0,-0.013122808768531558,-3.312665303548158,
38,2014-10-17,AAPL,97.66999816894531,97.66999816894531,0,0.014647787257674905,-1.6973358154296818,
39,2014-10-20,AAPL,99.76000213623048,99.76000213623048,0,0.021398628099388084,0.4160013834635521,
40,2014-10-21,AAPL,102.47000122070312,102.47000122070312,0,0.027165186712525546,3.011333719889322,
41,2014-10-22,AAPL,102.98999786376952,102.98999786376952,0,0.00507462317626417,3.2773305257161383,
42,2014-10-23,AAPL,104.83000183105469,104.83000183105469,0,0.017865851106425357,4.78866780598959,
43,2014-10-24,AAPL,105.22000122070312,105.22000122070312,0,0.0037203031845498558,4.805333964029941,
44,2014-10-27,AAPL,105.11000061035156,105.11000061035156,0,-0.0010454344143261407,4.329333496093753,
45,2014-10-28,AAPL,106.73999786376952,106.73999786376952,0,0.01550753728430121,5.426664225260396,
46,2014-10-29,AAPL,107.33999633789062,107.33999633789062,0,0.005621121286575992,5.590663146972659,
47,2014-10-30,AAPL,106.9800033569336,106.9800033569336,0,-0.0033537636783946834,4.833336385091144,
48,2014-10-31,AAPL,108.0,108.0,0,0.009534460750232343,5.368666585286462,
49,2014-11-03,AAPL,109.4000015258789,109.4000015258789,0,0.012962977091471428,6.12933451334635,
50,2014-11-04,AAPL,108.5999984741211,108.5999984741211,0,-0.007312642053012852,4.6726648966471345,109.01980368217414
51,2014-11-05,AAPL,108.86000061035156,108.86000061035156,0,0.002394126518265427,4.178000386555993,109.06861321262895
52,2014-11-06,AAPL,108.6999969482422,108.6999969482422,0,-0.0014698113284241643,3.18866373697918,108.8592834963616
53,2014-11-07,AAPL,109.01000213623048,109.01000213623048,0,0.0028519337322143734,2.742668660481783,108.89585755151346
54,2014-11-10,AAPL,108.83000183105469,108.83000183105469,0,-0.001651227425450763,1.9580017089843693,108.88785318609749
55,2014-11-11,AAPL,109.6999969482422,109.6999969482422,0,0.00799407426766452,2.3459971110026174,109.41683472792775
