,Date,Symbols,value,error_value,error_ind
0,2014-08-25,AAPL,101.54000091552734,101.54000091552734,0
1,2014-08-26,AAPL,100.88999938964844,100.88999938964844,0
2,2014-08-27,AAPL,102.12999725341797,102.12999725341797,0
3,2014-08-28,AAPL,102.25,102.25,0
4,2014-08-29,AAPL,102.5,102.5,0
5,2014-09-02,AAPL,103.30000305175781,103.30000305175781,0
6,2014-09-03,AAPL,98.94000244140625,98.94000244140625,0
7,2014-09-04,AAPL,98.12000274658203,98.12000274658203,0
8,2014-09-05,AAPL,98.97000122070312,98.97000122070312,0
9,2014-09-08,AAPL,98.36000061035156,98.36000061035156,0
10,2014-09-09,AAPL,97.98999786376953,97.98999786376953,0
11,2014-09-10,AAPL,101.0,101.0,0
12,2014-09-11,AAPL,101.43000030517578,101.43000030517578,0
13,2014-09-12,AAPL,101.66000366210938,101.66000366210938,0
14,2014-09-15,AAPL,101.62999725341797,101.62999725341797,0
15,2014-09-16,AAPL,100.86000061035156,100.86000061035156,0
16,2014-09-17,AAPL,101.58000183105469,101.58000183105469,0
17,2014-09-18,AAPL,101.79000091552734,101.79000091552734,0
18,2014-09-19,AAPL,100.95999908447266,100.95999908447266,0
19,2014-09-22,AAPL,101.05999755859375,101.05999755859375,0
20,2014-09-23,AAPL,102.63999938964844,102.63999938964844,0
21,2014-09-24,AAPL,101.75,101.75,0
22,2014-09-25,AAPL,97.87000274658203,97.87000274658203,0
23,2014-09-26,AAPL,100.75,100.75,0
24,2014-09-29,AAPL,100.11000061035156,100.11000061035156,0
25,2014-09-30,AAPL,100.75,100.75,0
26,2014-10-01,AAPL,99.18000030517578,99.18000030517578,0
27,2014-10-02,AAPL,99.9000015258789,99.9000015258789,0
28,2014-10-03,AAPL,99.62000274658203,99.62000274658203,0
29,2014-10-06,AAPL,99.62000274658203,99.62000274658203,0
30,2014-10-07,AAPL,98.75,98.75,0
31,2014-10-08,AAPL,100.80000305175781,100.80000305175781,0
32,2014-10-09,AAPL,101.0199966430664,101.0199966430664,0
33,2014-10-10,AAPL,100.7300033569336,100.7300033569336,0
34,2014-10-13,AAPL,99.80999755859375,99.80999755859375,0
35,2014-10-14,AAPL,98.75,98.75,0
36,2014-10-15,AAPL,97.54000091552734,97.54000091552734,0
37,2014-10-16,AAPL,96.26000213623047,96.26000213623047,0
38,2014-10-17,AAPL,97.66999816894531,97.66999816894531,0
39,2014-10-20,AAPL,99.76000213623047,99.76000213623047,0
40,2014-10-21,AAPL,102.47000122070312,102.47000122070312,0
41,2014-10-22,AAPL,102.98999786376953,102.98999786376953,0
42,2014-10-23,AAPL,104.83000183105469,104.83000183105469,0
43,2014-10-24,AAPL,105.22000122070312,105.22000122070312,0
44,2014-10-27,AAPL,105.11000061035156,105.11000061035156,0
45,2014-10-28,AAPL,106.73999786376953,106.73999786376953,0
46,2014-10-29,AAPL,107.33999633789062,107.33999633789062,0
47,2014-10-30,AAPL,106.9800033569336,106.9800033569336,0
48,2014-10-31,AAPL,108.0,108.0,0
49,2014-11-03,AAPL,109.4000015258789,109.4000015258789,0
50,2014-11-04,AAPL,108.5999984741211,108.5999984741211,0
51,2014-11-05,AAPL,108.86000061035156,108.86000061035156,0
52,2014-11-06,AAPL,108.69999694824219,108.69999694824219,0
53,2014-11-07,AAPL,109.01000213623047,109.01000213623047,0
54,2014-11-10,AAPL,108.83000183105469,108.83000183105469,0
55,2014-11-11,AAPL,109.69999694824219,109.69999694824219,0
56,2014-11-12,AAPL,111.25,111.25,0
57,2014-11-13,AAPL,112.81999969482422,112.81999969482422,0
58,2014-11-14,AAPL,114.18000030517578,114.18000030517578,0
59,2014-11-17,AAPL,113.98999786376953,113.98999786376953,0
60,2014-11-18,AAPL,115.47000122070312,115.47000122070312,0
61,2014-11-19,AAPL,114.66999816894531,114.66999816894531,0
62,2014-11-20,AAPL,116.30999755859375,116.30999755859375,0
63,2014-11-21,AAPL,116.47000122070312,116.47000122070312,0
64,2014-11-24,AAPL,118.62999725341797,118.62999725341797,0
65,2014-11-25,AAPL,117.5999984741211,117.5999984741211,0
66,2014-11-26,AAPL,119.0,119.0,0
67,2014-11-28,AAPL,118.93000030517578,118.93000030517578,0
68,2014-12-01,AAPL,115.06999969482422,115.06999969482422,0
69,2014-12-02,AAPL,114.62999725341797,114.62999725341797,0
70,2014-12-03,AAPL,115.93000030517578,115.93000030517578,0
71,2014-12-04,AAPL,115.48999786376953,115.48999786376953,0
72,2014-12-05,AAPL,115.0,115.0,0
73,2014-12-08,AAPL,112.4000015258789,112.4000015258789,0
74,2014-12-09,AAPL,114.12000274658203,114.12000274658203,0
75,2014-12-10,AAPL,111.94999694824219,111.94999694824219,0
76,2014-12-11,AAPL,111.62000274658203,111.62000274658203,0
77,2014-12-12,AAPL,109.7300033569336,109.7300033569336,0
78,2014-12-15,AAPL,108.2300033569336,108.2300033569336,0
79,2014-12-16,AAPL,106.75,106.75,0
80,2014-12-17,AAPL,109.41000366210938,109.41000366210938,0
81,2014-12-18,AAPL,112.6500015258789,112.6500015258789,0
82,2014-12-19,AAPL,111.77999877929688,111.77999877929688,0
83,2014-12-22,AAPL,112.94000244140625,112.94000244140625,0
84,2014-12-23,AAPL,112.54000091552734,112.54000091552734,0
85,2014-12-24,AAPL,112.01000213623047,112.01000213623047,0
86,2014-12-26,AAPL,113.98999786376953,113.98999786376953,0
87,2014-12-29,AAPL,113.91000366210938,113.91000366210938,0
88,2014-12-30,AAPL,112.5199966430664,112.5199966430664,0
89,2014-12-31,AAPL,110.37999725341797,110.37999725341797,0
